date,value,temperature,day_of_week,month,is_weekend
2020-01-01,99.99444042700891,20.74682594652106,0,1,0
2020-01-02,116.19821836268801,20.105549493965214,1,1,0
2020-01-03,112.34850118540771,18.35109910026789,2,1,0
2020-01-04,106.00409747317222,22.371804307189155,3,1,0
2020-01-05,97.3581666149435,21.58700381896328,4,1,0
2020-01-06,94.33804017678217,17.90396309884227,5,1,1
2020-01-07,88.31283335242904,20.538677342453415,6,1,1
2020-01-08,105.93408129100253,22.067533564356506,0,1,0
2020-01-09,118.46329430814569,23.85425299834669,1,1,0
2020-01-10,108.5001047068019,21.762553214345303,2,1,0
2020-01-11,116.57963374970734,23.565460171955277,3,1,0
2020-01-12,105.67588687311886,22.058817208613334,4,1,0
2020-01-13,97.42020376015324,23.025593966825305,5,1,1
2020-01-14,105.3564184437251,19.868952405258447,6,1,1
2020-01-15,110.9247426532107,24.419372787349598,0,1,0
2020-01-16,116.12648593001599,24.386748836528955,1,1,0
2020-01-17,107.60737733128417,22.016439131904868,2,1,0
2020-01-18,110.11574268674916,25.857737824747957,3,1,0
2020-01-19,102.6397831029108,22.954659814264296,4,1,0
2020-01-20,97.81645261867799,27.128994586913105,5,1,1
2020-01-21,100.97296809593128,24.084755531702115,6,1,1
2020-01-22,108.58406675842298,26.782048729400408,0,1,0
2020-01-23,121.99782778357422,26.871818221734593,1,1,0
2020-01-24,119.80830876155014,25.582670962087068,2,1,0
2020-01-25,114.45253922684418,25.602324625065922,3,1,0
2020-01-26,111.99300037931121,25.32996707464843,4,1,0
2020-01-27,92.58990689723458,28.95155164337607,5,1,1
2020-01-28,100.52810599597728,27.252524680239507,6,1,1
2020-01-29,109.09462812406356,21.50048628712345,0,1,0
2020-01-30,119.18846661462788,24.83008079865016,1,1,0
2020-01-31,118.94850028374681,26.198454796192458,2,1,0
2020-02-01,117.01003071512896,27.765732226228856,3,2,0
2020-02-02,104.31977793012511,29.02591619811559,4,2,0
2020-02-03,108.40166456140868,28.800520066101484,5,2,1
2020-02-04,102.45883459790599,27.256159121408132,6,2,1
2020-02-05,115.32113124118708,29.943255769146173,0,2,0
2020-02-06,130.84869664386895,31.891382924834907,1,2,0
2020-02-07,123.88735769847146,30.245180934077535,2,2,0
2020-02-08,120.59564185963794,28.449327151113437,3,2,0
2020-02-09,118.33753381432635,28.66283242797432,4,2,0
2020-02-10,104.72439287953668,31.376179286451855,5,2,1
2020-02-11,109.07814966391675,27.250916401702902,6,2,1
2020-02-12,114.27933631567088,24.4147142312124,0,2,0
2020-02-13,132.05517080587026,31.502752993323252,1,2,0
2020-02-14,129.90899579156263,30.90620342785097,2,2,0
2020-02-15,135.7156146410773,37.15711090724033,3,2,0
2020-02-16,115.20687302134189,33.05757351316884,4,2,0
2020-02-17,105.18812976709552,31.001203480426028,5,2,1
2020-02-18,113.847312557428,30.517085582225622,6,2,1
2020-02-19,128.17040412266857,30.353476153869856,0,2,0
2020-02-20,131.97018167179968,31.432816672149542,1,2,0
2020-02-21,140.80933821175313,31.971259358115685,2,2,0
2020-02-22,117.52367134542675,30.92125835612681,3,2,0
2020-02-23,116.9070300807511,29.867394904285042,4,2,0
2020-02-24,106.89547228754161,32.82316542395678,5,2,1
2020-02-25,122.53684339698056,33.16794309988156,6,2,1
2020-02-26,118.97109786465867,33.92476068401926,0,2,0
2020-02-27,131.57570332606667,30.269811813274018,1,2,0
2020-02-28,135.7419546250325,29.990731638421398,2,2,0
2020-02-29,124.55942536032468,32.302572653981564,3,2,0
2020-03-01,119.6541221280124,34.177022479652116,4,3,0
2020-03-02,115.8300134914403,33.73799062883437,5,3,1
2020-03-03,120.60985630691638,32.119917491386545,6,3,1
2020-03-04,125.63599242398244,33.80397323024289,0,3,0
2020-03-05,134.65320257709766,30.971708955831748,1,3,0
2020-03-06,129.03803834365797,33.836854515901166,2,3,0
2020-03-07,137.1182627556681,32.248668538113606,3,3,0
2020-03-08,119.90788166974882,35.25542640084445,4,3,0
2020-03-09,120.66240274367462,36.35545128358985,5,3,1
2020-03-10,113.04177280135235,35.06129524518535,6,3,1
2020-03-11,126.87739321764987,33.79675308433417,0,3,0
2020-03-12,132.30499791209306,38.53467545737838,1,3,0
2020-03-13,139.7549628068982,33.024130777701075,2,3,0
2020-03-14,133.2674040804688,32.7157552353897,3,3,0
2020-03-15,126.15855055435604,36.66437458919336,4,3,0
2020-03-16,122.29567995918248,33.86209098019289,5,3,1
2020-03-17,113.89631278529663,35.75882666856492,6,3,1
2020-03-18,128.6959494230173,35.008506366883076,0,3,0
2020-03-19,143.0579950714202,33.16311044485997,1,3,0
2020-03-20,145.01570233633723,36.4804946420601,2,3,0
2020-03-21,133.26504121636845,36.90307767942293,3,3,0
2020-03-22,121.81111972387072,36.9887038116949,4,3,0
2020-03-23,112.14609821007572,33.76145767209004,5,3,1
2020-03-24,127.3907632321973,36.091652327513245,6,3,1
2020-03-25,127.2101972740032,34.174674393950106,0,3,0
2020-03-26,138.74848093466574,35.933016585051206,1,3,0
2020-03-27,137.54211617557607,34.56728253137445,2,3,0
2020-03-28,145.58123136978773,31.772573769564858,3,3,0
2020-03-29,124.51970297941324,37.78058194824026,4,3,0
2020-03-30,126.25775101134018,36.03248069363375,5,3,1
2020-03-31,118.31526700491101,36.599117019978145,6,3,1
2020-04-01,126.26527482390925,37.911682705342024,0,4,0
2020-04-02,145.1802148165043,31.694313793499575,1,4,0
2020-04-03,146.98704355332353,33.621314318481296,2,4,0
2020-04-04,139.16191256968148,35.40385271261054,3,4,0
2020-04-05,130.05637228334487,39.22049450167556,4,4,0
2020-04-06,123.67883020210476,35.935321357749544,5,4,1
2020-04-07,124.93009587814029,35.90158915670348,6,4,1
2020-04-08,139.17091870819118,33.78351574038608,0,4,0
2020-04-09,140.1324159630695,34.69198693066316,1,4,0
2020-04-10,153.99218687077874,36.16054678642686,2,4,0
2020-04-11,134.9321701794749,34.05306211504064,3,4,0
2020-04-12,117.92805334249854,35.00315576994805,4,4,0
2020-04-13,120.77410613244356,34.274236111328065,5,4,1
2020-04-14,118.98317186869359,34.333792542211846,6,4,1
2020-04-15,135.68216803512092,33.117181108679176,0,4,0
2020-04-16,133.70137501653,37.04716977140742,1,4,0
